연번,학교명,설립구분,주소,연락처,홈페이지,위도,경도,데이터기준일자
1,인천고잔고등학교,공립,인천광역시 남동구 에코중앙로 117,032-430-2400,http://gojan.icehs.kr/main.do,37.38902762,126.7222241,2024-03-25
2,도림고등학교,공립,인천광역시 남동구 서창남로 8,032-622-2430,http://dorim.icehs.kr/main.do,37.42091002,126.7529542,2024-03-25
3,동인천고등학교,공립,인천광역시 남동구 만수로75번길 71-15(만수동 5-394번지),032-721-3600,http://dih.icehs.kr/main.do,37.46582835,126.7352644,2024-03-25
4,만수고등학교,공립,인천광역시 남동구 장승로91(만수6동 605-5번지),032-473-0372,http://ims.icehs.kr/main.do,37.44718101,126.7424154,2024-03-25
5,문일여자고등학교,사립,인천광역시 남동구 구월로372번길 56 ( 만수동 977-25),032-465-3413,http://moonil-g.icehs.kr/main.do,37.45247975,126.7306629,2024-03-25
6,미추홀외국어고등학교,공립,인천광역시 남동구 에코중앙로 130(논현동 767-2),032-442-0963,http://mch.icehs.kr/main.do,37.38958106,126.7242474,2024-03-25
7,석정여자고등학교,공립,인천광역시 남동구 방축로 469번길 27(간석동 614-11),032-720-7200,http://sj.icehs.kr/main.do,37.46866182,126.6941925,2024-03-25
8,숭덕여자고등학교,사립,인천광역시 남동구 만수로73번길 20-23(만수2동 5-213),032-462-5296,http://soongduk.icehs.kr/main.do,37.46428223,126.7339226,2024-03-25
9,신명여자고등학교,사립,인천광역시 남동구 용천로205번길 42(간석3동 26번지),032-422-0331,http://shinmyung.icehs.kr/main.do,37.46922855,126.7130162,2024-03-25
10,인제고등학교,사립,인천광역시 남동구 석산로197번길 19(간석2동 136-1),032-422-6681,http://inje.icehs.kr/main.do,37.46139252,126.7124608,2024-03-25
11,인천금융고등학교,사립,인천광역시 남동구 함박뫼로 438-9(논현동 580-2번지),032-465-6503,http://finance.icehs.kr/main.do,37.40884476,126.7117107,2024-03-25
12,인천남고등학교,공립,인천광역시 남동구 석정로551번길41(간석동 614-12),032-722-1500,http://inam.icehs.kr/main.do,37.46791301,126.6965569,2024-03-25
13,인천남동고등학교,공립,인천광역시 남동구 은봉로 283 (논현동 588-1),032-421-2982,http://namdong.icehs.kr/main.do,37.40583317,126.7214872,2024-03-25
14,인천논현고등학교,공립,인천광역시 남동구 청능대로611번길 54(논현동 604-2),032-446-0634,http://nh.icehs.kr/main.do,37.40375712,126.7270004,2024-03-25
15,인천송천고등학교,공립,인천광역시 남동구 앵고개로 815번길 59(논현동 738-4 ),032-432-2263,http://songcheon.icehs.kr/main.do,37.39589866,126.7218591,2024-03-25
16,인천예술고등학교,공립,인천광역시 남동구 구월로 115번길 36 (간석동 417-3),032-433-3145,http://inart.icehs.kr/main.do,37.45854195,126.7039081,2024-03-25
